interview__key,interview__id,land_parcels__id,i01_3,i02__0,i02__1,i02__2,i02__3,i02__4,i02__5,i02__6,i02__7,i03,i04,i05,i06,i07__1,i07__2,i07__3,i07__4,i07__5,i07__6,i07__7,i07__8,i07__9,i07__10,i07__11,i07__96,i08,i09,i10,i11,i12,i13
27-49-93-29,9d8be29c3a1142159bb4c6353269155a,1,Inherited,1.0,,,,,,,,Busia,Community land,Customary,Title deed,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
02-41-27-06,bec913477a794c8ab03711149e51c1cb,1,Inherited,2.0,,,,,,,,Kakamega,Private,Freehold,None,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Relative,No,Relative,Slightly Likely,Intra-family
77-32-87-03,b9880e206d3e47f0905f557c1de26cfc,1,Inherited,1.0,,,,,,,,Migori,Private,Freehold,Title deed,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Yes,,Yes,,Not at all Likely,
08-30-38-22,390e241d49004f99b1830071b214b989,1,Inherited,1.0,2.0,,,,,,,Migori,Private,Freehold,Title deed,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Co-owner(s),No,Co-owner(s),Not at all Likely,
26-87-56-32,01b981efeae744ef811e165847720c0e,1,Inherited,1.0,,,,,,,,Migori,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
87-05-32-78,3d8be7cc0d364d4db7903592fc0d8511,1,Purchased,1.0,,,,,,,,Migori,Private,Freehold,Title deed,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
34-47-30-44,da3b0024fcf64f82abc474becda3359c,1,Inherited,1.0,,,,,,,,Elgeyo-Marakwet,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
34-47-30-44,da3b0024fcf64f82abc474becda3359c,2,Purchased,1.0,,,,,,,,Elgeyo-Marakwet,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
96-99-71-86,f4daaa2ae7694601b859d662ac13ae74,1,Gift,1.0,2.0,3.0,4.0,6.0,,,,Bomet,Private,Freehold,None,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Relative,Yes,,Not at all Likely,
84-44-75-38,b79b7a89100b4c31aa5f9fcbef1d1a99,1,Inherited,1.0,,,,,,,,Kakamega,Private,Freehold,Title deed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
