cg00,interview__key,interview__id,cg1a,cg1b,cg1_1,cg1_2,cg1_3,cg2__1,cg2__2,cg2__3,cg2__4,cg2__5,cg2__6,cg2__96,cg2i_other_institutions,cg3,cg4a,cg4b,cg6__1,cg6__2,cg6__3,cg6__4,cg6__5,cg6__6,cg6__7,cg6__8,cg6__96,cg6i,cg7__0,cg7__0c,cg7__1,cg7__1c,cg7__2,cg7__2c,cg7__3,cg7__3c,cg7__4,cg7__4c,cg8__1,cg8__2,cg8__3,cg8__4,cg8__5,cg8__6,cg8__7,cg9__1,cg9__2,cg9__3,cg9__4,cg9__5,cg9__6,cg9__7,cg9__8,cg9__96,cg9i,cg11,cg12,cg12i,cg13__1,cg13__2,cg13__3,cg13__4,cg13__5,cg13__6,cg13__7,cg13__8,cg13__9,cg13__96,cg13i,cg15__1,cg15__2,cg15__3,cg15__4,cg15__96,cg15i,cg16__1,cg16__2,cg16__3,cg16__4,cg16__5,cg16__96,cg16i,cg19__1,cg19__2,cg19__3,cg19__96,cg19i,cg21a,cg21b,cg21c,cg22__1,cg22__2,cg22__3,cg22__4,cg22__5,cg22__6,cg22__7,cg22__8,cg22__96,cg22i,cg25__1,cg25__2,cg25__3,cg25__4,cg25__5,cg25__6,cg25__7,cg25__8,cg25__9,cg25__10,cg25__11,cg25__12,cg25__13,cg25__96,cg25i
39,94-26-62-31,7fb0229292ea43aebe4e0ccd823dd89a,296.0,326.0,No,No,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,KENHA- on need basis,5.0,296.0,326.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,1m² residential,1.0,1m² industrial,2.0,1m² commercial,3.0,##N/A##,,##N/A##,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,Yes,Developers' not knowing what is expected of them,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,replanning,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,1.0,1.0,changing legal framework,20.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
2,19-74-05-37,b6d81bc1411c42bda9262b8429a2436a,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,46-71-69-04,6a7eb6a039ac4cd286bedb90736db71f,21.0,23.0,No,No,,1.0,1.0,1.0,,,,,,14.0,21.0,14.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,"18,000",1.0,##N/A##,,##N/A##,,##N/A##,,##N/A##,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,No,Developers not meeting the minimum requirements for approval,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,,17780.0,1000.0,16780.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
34,01-52-13-77,7f99c2ecc4b1462a8471d097c5f71cc1,661.0,483.0,Yes,Yes,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,14.0,610.0,470.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,0-46,1.0,46-93,2.0,93-140,3.0,140-186,4.0,##N/A##,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,Yes,Developers not meeting the minimum requirements for approval,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,0.0,,20.0,5000.0,3000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
23,97-27-35-64,84b1330c70c24015a366b18fbbe1243d,33.0,39.0,Yes,Yes,92.0,1.0,1.0,1.0,,1.0,0.0,0.0,,3.0,30.0,38.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,14000,1.0,##N/A##,,##N/A##,,##N/A##,,##N/A##,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,Yes,Lack of approved Physical Development Plan,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,ALL HAVE BEEN APPROVED,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
47,23-04-89-15,3b4fd8abfcb048fb9eb035b49e1bcdea,3312.0,960.0,Yes,Yes,60.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,14.0,3312.0,960.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,200,1.0,##N/A##,,##N/A##,,##N/A##,,##N/A##,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,No,Developers not meeting the minimum requirements for approval,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,Where land ownership is question,2500.0,1540.0,458.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
35,25-09-90-41,65c0800838164f93af39c0a599fdb9da,2022.0,30.0,No,Yes,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,##N/A##,7.0,10.0,15.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,N/A,1.0,##N/A##,,##N/A##,,##N/A##,,##N/A##,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,Yes,Lack of approved Physical Development Plan,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
16,72-43-68-93,ddec65ef425448d0a22bcb8fac8a9d7c,1100.0,1600.0,Yes,No,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"KCCA ,KENHA,WRMA",14.0,1030.0,1500.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,Residential -30kshs,1.0,Commercial -40kshs,2.0,Industrial -200 kshs,3.0,Institutions -20 kshs,4.0,##N/A##,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,Yes,Developers not meeting the minimum requirements for approval,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,2224.0,3119.0,105.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
27,70-16-16-24,ac82e50910a940699df4596dee7fda02,937.0,788.0,No,No,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,7.0,937.0,788.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,1.0,##N/A##,,##N/A##,,##N/A##,,##N/A##,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,No,Developers not meeting the minimum requirements for approval,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
31,90-91-71-11,6c44e43a1a2d4beca08530b089358ceb,235.0,261.0,No,Yes,40.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,21.0,225.0,250.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,100,1.0,500,2.0,800,3.0,##N/A##,,##N/A##,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,Developers not meeting the minimum requirements for approval,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
3,40-24-10-34,4e29d6aac73840b59444bcd62b03aa48,9.0,,No,No,,1.0,0.0,1.0,1.0,0.0,0.0,,,30.0,,686.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,280m2,1.0,450m2,2.0,##N/A##,,##N/A##,,##N/A##,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,No,Developers not meeting the minimum requirements for approval,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,resources challenges financial,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,
25,64-38-40-29,c2ba035728824ee594e943ba1c72eddb,12.0,10.0,No,No,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,5.0,16.0,17.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,1 square meter,1.0,##N/A##,,##N/A##,,##N/A##,,##N/A##,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,No,Developers' not knowing what is expected of them,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
45,49-99-80-35,88a9104dcab94e37a6db72935e07e422,,,,,,,,,,,,,,,,,,,,,,,,,,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,85-98-64-82,7264050a75874e13a33bb6b553c9d2f1,400.0,500.0,Yes,,,1.0,,1.0,,,,1.0,Public works,30.0,392.0,490.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,320m2 Residential,1.0,320m2 Commercial,2.0,320m2 x no of floors 4 floors,3.0,##N/A##,,##N/A##,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,Yes,Developers not meeting the minimum requirements for approval,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,shortage of resources human and financial,,,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,
7,86-31-38-00,a07a73e6cf8c4da388a4788f90701cdc,53.0,47.0,Yes,No,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,4.0,40.0,32.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,1m2 residential,1.0,1m2 commercial,2.0,1m2 Educational,3.0,##N/A##,,##N/A##,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Political interference,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
