countryiso3,date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
AFG,2026-01-15,Uruzgan,Chora,Uruzgan,3241,32.85,66.06,non-food,Wage (qualified labour),274,Day,aggregate,Retail,AFN,1000.0,15.08
AFG,2026-01-15,Uruzgan,Chora,Uruzgan,3241,32.85,66.06,oil and fats,Oil (cooking),82,KG,aggregate,Retail,AFN,116.5,1.76
AFG,2026-01-15,Uruzgan,Chora,Uruzgan,3241,32.85,66.06,pulses and nuts,Pulses,163,KG,aggregate,Retail,AFN,104.3,1.57
AFG,2026-01-15,Wardak,Hesa Awal-e- Behsud,Maidan Wardak,3232,34.3,68.22,cereals and tubers,Bread,55,KG,aggregate,Retail,AFN,56.0,0.84
AFG,2026-01-15,Wardak,Hesa Awal-e- Behsud,Maidan Wardak,3232,34.3,68.22,cereals and tubers,Rice (high quality),247,KG,aggregate,Retail,AFN,129.9,1.96
AFG,2026-01-15,Wardak,Hesa Awal-e- Behsud,Maidan Wardak,3232,34.3,68.22,cereals and tubers,Rice (low quality),145,KG,aggregate,Retail,AFN,67.3,1.01
AFG,2026-01-15,Wardak,Hesa Awal-e- Behsud,Maidan Wardak,3232,34.3,68.22,cereals and tubers,Wheat,84,KG,aggregate,Retail,AFN,30.3,0.46
AFG,2026-01-15,Wardak,Hesa Awal-e- Behsud,Maidan Wardak,3232,34.3,68.22,cereals and tubers,Wheat flour (high quality),178,KG,aggregate,Retail,AFN,31.3,0.47
AFG,2026-01-15,Wardak,Hesa Awal-e- Behsud,Maidan Wardak,3232,34.3,68.22,cereals and tubers,Wheat flour (low quality),800,KG,aggregate,Retail,AFN,28.65,0.43
AFG,2026-01-15,Wardak,Hesa Awal-e- Behsud,Maidan Wardak,3232,34.3,68.22,miscellaneous food,Salt,185,KG,aggregate,Retail,AFN,20.0,0.3
AFG,2026-01-15,Wardak,Hesa Awal-e- Behsud,Maidan Wardak,3232,34.3,68.22,miscellaneous food,Sugar,97,KG,aggregate,Retail,AFN,50.3,0.76
AFG,2026-01-15,Wardak,Hesa Awal-e- Behsud,Maidan Wardak,3232,34.3,68.22,non-food,Exchange rate,305,USD/LCU,aggregate,Retail,AFN,66.0,1.0
AFG,2026-01-15,Wardak,Hesa Awal-e- Behsud,Maidan Wardak,3232,34.3,68.22,non-food,Fuel (diesel),284,L,aggregate,Retail,AFN,62.0,0.93
