date,price,observations,year,month,quarter,day_of_year,month_sin,month_cos,price_lag_1m,price_lag_3m,price_lag_6m,price_lag_12m,price_rolling_mean_3m,price_rolling_std_3m,price_rolling_mean_6m,price_rolling_std_6m,price_rolling_mean_12m,price_rolling_std_12m,inflation_mom,inflation_yoy,season,season_harvest_long,season_harvest_short,season_lean,season_normal
2007-05-01,21.25,4,2007,5,2,121,0.49999999999999994,-0.8660254037844387,19.25,21.5,24.5,23.75,19.666666666666668,1.4215601757693328,20.916666666666668,1.9278658321228264,22.0625,1.828203912438258,10.38961038961039,-10.526315789473683,harvest_long,True,False,False,False
2007-06-01,20.75,4,2007,6,2,152,1.2246467991473532e-16,-1.0,21.25,18.5,24.0,22.75,20.416666666666668,1.0408329997330672,20.375,1.2119199643540675,21.895833333333332,1.8508546346993027,-2.3529411764705883,-8.791208791208792,normal,False,False,False,True
2007-07-01,19.75,4,2007,7,3,182,-0.4999999999999997,-0.8660254037844388,20.75,19.25,21.0,23.0,20.583333333333332,0.7637626158259734,20.166666666666668,1.190238071423792,21.625,1.9113893090914527,-4.819277108433735,-14.130434782608695,normal,False,False,False,True
2007-08-01,20.5,4,2007,8,3,213,-0.8660254037844385,-0.5000000000000004,19.75,21.25,21.5,23.25,20.333333333333332,0.5204164998665329,20.0,1.0246950765959395,21.395833333333332,1.863093509258844,3.79746835443038,-11.827956989247312,normal,False,False,False,True
2007-09-01,21.0,4,2007,9,3,244,-1.0,-1.8369701987210297e-16,20.5,20.75,18.5,22.5,20.416666666666668,0.6291528696058949,20.416666666666668,0.7691987172809333,21.270833333333332,1.8323430521073476,2.4390243902439024,-6.666666666666667,normal,False,False,False,True
2007-10-01,20.5,4,2007,10,4,274,-0.8660254037844386,0.5000000000000001,21.0,19.75,19.25,23.25,20.666666666666668,0.28867513459481003,20.625,0.5184110338331653,21.041666666666668,1.7315039880422076,-2.380952380952381,-11.827956989247312,harvest_short,False,True,False,False
2007-11-01,20.0,4,2007,11,4,305,-0.5000000000000004,0.8660254037844384,20.5,20.5,21.25,24.5,20.5,0.4999999999999982,20.416666666666668,0.46547466812559424,20.666666666666668,1.3623731522826676,-2.4390243902439024,-18.367346938775512,harvest_short,False,True,False,False
2007-12-01,24.5,4,2007,12,4,335,-2.4492935982947064e-16,1.0,20.0,21.0,20.75,24.0,21.666666666666668,2.4664414311581226,21.041666666666668,1.7494046606393423,20.708333333333332,1.4764566510481267,22.5,2.083333333333333,normal,False,False,False,True
2008-01-01,26.5,4,2008,1,1,1,0.49999999999999994,0.8660254037844387,24.5,20.5,19.75,21.0,23.666666666666668,3.3291640592396954,22.166666666666668,2.6770630673681723,21.166666666666668,2.2343733444579614,8.16326530612245,26.190476190476193,lean,False,False,True,False
2008-02-01,26.25,4,2008,2,1,32,0.8660254037844386,0.5000000000000001,26.5,20.0,20.5,21.5,25.75,1.0897247358851634,23.125,2.973844313342588,21.5625,2.6759131831276557,-0.9433962264150944,22.093023255813954,lean,False,False,True,False
2008-03-01,26.75,4,2008,3,1,61,1.0,6.123233995736766e-17,26.25,24.5,21.0,18.5,26.5,0.24999999999997868,24.083333333333332,3.0767948691238325,22.25,2.870302486435253,1.9047619047619049,44.5945945945946,lean,False,False,True,False
2008-04-01,27.5,4,2008,4,2,92,0.8660254037844387,-0.4999999999999998,26.75,26.5,20.5,19.25,26.833333333333332,0.6291528696058878,25.25,2.7568097504180638,22.9375,3.0676556787938902,2.803738317757009,42.857142857142854,harvest_long,True,False,False,False
2008-05-01,34.0,4,2008,5,2,122,0.49999999999999994,-0.8660254037844387,27.5,26.25,20.0,21.25,29.416666666666668,3.986957904635227,27.583333333333332,3.29646275068699,24.0,4.3641098227994455,23.636363636363637,60.0,harvest_long,True,False,False,False
2008-06-01,32.5,4,2008,6,2,153,1.2246467991473532e-16,-1.0,34.0,26.75,24.5,20.75,31.333333333333332,3.4034296427770205,28.916666666666668,3.4156502553198966,24.979166666666668,4.858753035564386,-4.411764705882353,56.62650602409639,normal,False,False,False,True
2008-07-01,33.75,4,2008,7,3,183,-0.4999999999999997,-0.8660254037844388,32.5,27.5,26.5,19.75,33.416666666666664,0.8036375634160722,30.125,3.6631612031140874,26.145833333333332,5.160446524607481,3.8461538461538463,70.88607594936708,normal,False,False,False,True
2008-08-01,34.25,4,2008,8,3,214,-0.8660254037844385,-0.5000000000000004,33.75,34.0,26.25,20.5,33.5,0.9013878188659902,31.458333333333332,3.4183938723714915,27.291666666666668,5.317032380316435,1.4814814814814816,67.07317073170732,normal,False,False,False,True
2008-09-01,35.0,4,2008,9,3,245,-1.0,-1.8369701987210297e-16,34.25,32.5,26.75,21.0,34.333333333333336,0.6291528696058847,32.833333333333336,2.737090913116881,28.458333333333332,5.3468696591103955,2.18978102189781,66.66666666666666,normal,False,False,False,True
