adm0_id,adm0_name,adm1_id,adm1_name,mkt_id,mkt_name,cm_id,cm_name,cur_id,cur_name,pt_id,pt_name,um_id,um_name,mp_month,mp_year,mp_price,mp_commoditysource,date
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,1,2009,65.0,,2009-01-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,2,2009,65.0,,2009-02-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,3,2009,65.0,,2009-03-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,4,2009,70.0,,2009-04-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,5,2009,75.0,,2009-05-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,6,2009,80.0,,2009-06-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,7,2009,70.0,,2009-07-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,8,2009,60.0,,2009-08-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,9,2009,60.0,,2009-09-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,10,2009,60.0,,2009-10-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,11,2009,60.0,,2009-11-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,12,2009,60.0,,2009-12-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,1,2010,60.0,,2010-01-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,2,2010,50.0,,2010-02-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,3,2010,50.0,,2010-03-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,4,2010,45.0,,2010-04-01
133.0,Kenya,51327,Eastern,187,Kitui,262,Beans (dry) - Retail,0.0,KES,15,Retail,5,KG,5,2010,45.0,,2010-05-01
