ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2006-01-01,18.55036053011111,11.454045093367524,26.326262226763,18.55036053011111,18.55036053011111,0.3567096551703256,0.3567096551703256,0.3567096551703256,0.3567096551703256,0.3567096551703256,0.3567096551703256,0.0,0.0,0.0,18.907070185281437
2006-02-01,19.00445092515899,11.728893790635066,25.451925213727396,19.00445092515899,19.00445092515899,-0.6381984551062028,-0.6381984551062028,-0.6381984551062028,-0.6381984551062028,-0.6381984551062028,-0.6381984551062028,0.0,0.0,0.0,18.36625247005279
2006-03-01,19.414597088428042,10.55182245063203,25.187779753704763,19.414597088428042,19.414597088428042,-1.3820701819758994,-1.3820701819758994,-1.3820701819758994,-1.3820701819758994,-1.3820701819758994,-1.3820701819758994,0.0,0.0,0.0,18.032526906452144
2006-04-01,19.868687483475924,11.244761622911604,25.84984150686022,19.868687483475924,19.868687483475924,-1.3856540804049353,-1.3856540804049353,-1.3856540804049353,-1.3856540804049353,-1.3856540804049353,-1.3856540804049353,0.0,0.0,0.0,18.483033403070987
2006-05-01,20.3081298012642,13.840129596881637,28.13646453215821,20.3081298012642,20.3081298012642,0.9312545376232565,0.9312545376232565,0.9312545376232565,0.9312545376232565,0.9312545376232565,0.9312545376232565,0.0,0.0,0.0,21.239384338887458
2006-06-01,20.76222019631208,14.402272651520844,29.676222173519673,20.76222019631208,20.76222019631208,0.943296882723385,0.943296882723385,0.943296882723385,0.943296882723385,0.943296882723385,0.943296882723385,0.0,0.0,0.0,21.705517079035463
2006-07-01,21.201662511628815,15.156750670053627,30.245446154232873,21.201662511628815,21.201662511628815,1.3305630981134922,1.3305630981134922,1.3305630981134922,1.3305630981134922,1.3305630981134922,1.3305630981134922,0.0,0.0,0.0,22.532225609742305
2006-08-01,21.655752904122775,15.171825740352794,30.10592715606253,21.655752904122775,21.655752904122775,0.5448625944304454,0.5448625944304454,0.5448625944304454,0.5448625944304454,0.5448625944304454,0.5448625944304454,0.0,0.0,0.0,22.20061549855322
2006-09-01,22.109843296616727,14.897084529415565,29.006492858447352,22.109843296616727,22.109843296616727,-0.4282779951271929,-0.4282779951271929,-0.4282779951271929,-0.4282779951271929,-0.4282779951271929,-0.4282779951271929,0.0,0.0,0.0,21.681565301489535
2006-10-01,22.54928561193346,15.389074812176123,30.16773238186631,22.54928561193346,22.54928561193346,-0.10212676114167724,-0.10212676114167724,-0.10212676114167724,-0.10212676114167724,-0.10212676114167724,-0.10212676114167724,0.0,0.0,0.0,22.447158850791784
2006-11-01,23.00337600442742,15.418851837083608,30.141487587154643,23.00337600442742,23.00337600442742,0.022766495594795044,0.022766495594795044,0.022766495594795044,0.022766495594795044,0.022766495594795044,0.022766495594795044,0.0,0.0,0.0,23.026142500022214
2006-12-01,23.44281831974416,15.737845116025468,30.537113955769286,23.44281831974416,23.44281831974416,-0.24730856735631718,-0.24730856735631718,-0.24730856735631718,-0.24730856735631718,-0.24730856735631718,-0.24730856735631718,0.0,0.0,0.0,23.195509752387842
2007-01-01,23.896908712401757,16.302544778751617,31.43509169896534,23.896908712401757,23.896908712401757,0.2520403497201046,0.2520403497201046,0.2520403497201046,0.2520403497201046,0.2520403497201046,0.2520403497201046,0.0,0.0,0.0,24.14894906212186
2007-02-01,24.350999105059362,16.13625351811445,31.60447962061266,24.350999105059362,24.350999105059362,-0.7502178383336576,-0.7502178383336576,-0.7502178383336576,-0.7502178383336576,-0.7502178383336576,-0.7502178383336576,0.0,0.0,0.0,23.600781266725704
2007-03-01,24.76114526616945,16.29312052938945,30.718987946445168,24.76114526616945,24.76114526616945,-1.4985712897875747,-1.4985712897875747,-1.4985712897875747,-1.4985712897875747,-1.4985712897875747,-1.4985712897875747,0.0,0.0,0.0,23.262573976381876
2007-04-01,25.21523565882705,16.99720824290881,32.019469827668985,25.21523565882705,25.21523565882705,-0.6867310377756717,-0.6867310377756717,-0.6867310377756717,-0.6867310377756717,-0.6867310377756717,-0.6867310377756717,0.0,0.0,0.0,24.52850462105138
2007-05-01,25.654677974302146,19.08681168434652,33.690320899822154,25.654677974302146,25.654677974302146,0.6230996137263403,0.6230996137263403,0.6230996137263403,0.6230996137263403,0.6230996137263403,0.6230996137263403,0.0,0.0,0.0,26.277777588028485
2007-06-01,26.108768366899877,19.174867275308838,33.6290401423921,26.108768366899877,26.108768366899877,0.6099354192492841,0.6099354192492841,0.6099354192492841,0.6099354192492841,0.6099354192492841,0.6099354192492841,0.0,0.0,0.0,26.71870378614916
2007-07-01,26.54821068231703,20.163184773744007,35.30086135967,26.54821068231703,26.54821068231703,1.272937355700566,1.272937355700566,1.272937355700566,1.272937355700566,1.272937355700566,1.272937355700566,0.0,0.0,0.0,27.821148038017597
2007-08-01,27.002301074914765,20.351500624369205,34.885735847195114,27.002301074914765,27.002301074914765,0.737122679646822,0.737122679646822,0.737122679646822,0.737122679646822,0.737122679646822,0.737122679646822,0.0,0.0,0.0,27.73942375456159
2007-09-01,27.456391467512493,20.320494490533957,35.030582635874474,27.456391467512493,27.456391467512493,-0.15555786176683717,-0.15555786176683717,-0.15555786176683717,-0.15555786176683717,-0.15555786176683717,-0.15555786176683717,0.0,0.0,0.0,27.300833605745655
2007-10-01,27.89583378292965,19.93223669660997,34.75002598768585,27.89583378292965,27.89583378292965,-0.2594397316140503,-0.2594397316140503,-0.2594397316140503,-0.2594397316140503,-0.2594397316140503,-0.2594397316140503,0.0,0.0,0.0,27.636394051315598
2007-11-01,28.349924175542686,20.856064745398132,35.15784380368976,28.349924175542686,28.349924175542686,-0.09502436946325471,-0.09502436946325471,-0.09502436946325471,-0.09502436946325471,-0.09502436946325471,-0.09502436946325471,0.0,0.0,0.0,28.254899806079433
2007-12-01,28.789366490974658,20.782238871090453,36.28468186136302,28.789366490974658,28.789366490974658,-0.08504072523239738,-0.08504072523239738,-0.08504072523239738,-0.08504072523239738,-0.08504072523239738,-0.08504072523239738,0.0,0.0,0.0,28.70432576574226
2008-01-01,29.24345688358769,22.16092485697997,36.55432519918168,29.24345688358769,29.24345688358769,0.1439889735840254,0.1439889735840254,0.1439889735840254,0.1439889735840254,0.1439889735840254,0.1439889735840254,0.0,0.0,0.0,29.387445857171716
