,MAE,RMSE,MAPE
prophet_forecast,1.770604507773322,2.673541503312664,3.26937174959598
sarima_forecast,4.5569203076014775,5.322412637013452,8.56083583906733
xgb_forecast,1.1666934629629633,1.7655817675549803,2.1014153810562264
