date,price,prophet_forecast,sarima_forecast,xgb_forecast
2020-01-01,54.65,54.02085492649976,58.9771618862396,54.500393
2020-02-01,53.833333333333336,53.00373028336575,59.789573682211696,55.08118
2020-03-01,47.9,52.73476463230793,60.48451750483025,48.22185
2020-04-01,58.0375,51.05100340423168,61.00872872642852,53.1768
2020-05-01,57.53333333333333,55.33313640533038,62.02523870585637,55.411156
2020-06-01,55.96666666666667,55.429203119934485,62.0407910626718,55.92312
2020-07-01,55.47777777777778,55.27784592127713,60.5177743993432,56.39158
2020-08-01,55.8375,53.97258816342343,57.9946589598391,55.980087
2020-09-01,54.23333333333333,52.79738167972641,57.27609960374704,54.321037
2020-10-01,53.98888888888889,53.96459772704478,56.32882280032022,55.02113
2020-11-01,52.75555555555556,54.02068187110629,56.07521366703666,50.536022
2020-12-01,52.73333333333333,53.172704776255,55.11168491491549,51.874607
